step,t,tid,truth,subtype,x,y,pred,p_uav,threat,d_asset,reco,kill
10,20.0,T18,bird,조류,-0.6153714666543286,-3.6997755385185638,새/기타,0.1,25.5,3.75,감시 지속,none
10,20.0,T19,bird,조류,1.0687980019417405,-3.7565435035388486,새/기타,0.1,25.5,3.91,감시 지속,none
11,22.0,T00,bird,조류,-4.582064023808915,-0.5391576627598136,새/기타,0.1,25.5,3.99,감시 지속,none
11,22.0,T01,drone,고정익,2.622295200585903,2.5258451001582194,드론,0.95,86.2,1.53,물리 요격(최후수단),hard
11,22.0,T02,bird,조류,-4.200179689477074,-0.6861243752971516,새/기타,0.1,6.5,3.87,감시 지속,none
11,22.0,T03,balloon,오물풍선,-0.6605272671558319,-3.6377430449423716,풍선,0.15,27.0,3.7,감시 지속,none
11,22.0,T05,drone,자폭형(FPV),-3.1586471293523317,0.495784617015667,드론,0.95,77.4,2.32,물리 요격(최후수단),hard
11,22.0,T06,bird,조류,-3.7794160354097905,-2.474779111242704,새/기타,0.1,6.5,4.52,감시 지속,none
11,22.0,T07,balloon,오물풍선,3.012132794468615,-2.610901497289276,풍선,0.15,8.0,3.65,감시 지속,none
11,22.0,T08,bird,조류,-4.443703837154823,0.8912564111107925,새/기타,0.1,20.1,2.93,감시 지속,none
11,22.0,T09,balloon,고고도 미사일 풍선,-1.6427258011911914,4.547074058047344,풍선,0.15,34.3,2.08,감시 지속,none
11,22.0,T10,bird,조류,3.2681838976168756,-1.9794124088088192,새/기타,0.1,6.5,3.08,감시 지속,none
11,22.0,T11,drone,고정익,3.4211592828053363,1.3643704888236956,드론,0.95,91.4,0.99,물리 요격(최후수단),hard
11,22.0,T12,drone,고정익,3.7285943363950125,1.8466314384160682,드론,0.95,67.6,1.49,RF 재밍,soft
11,22.0,T13,drone,회전익(헬기형),3.312044373360477,-2.67349511039181,드론,0.95,54.0,3.76,RF 재밍,soft
11,22.0,T14,bird,조류,3.0776512188992973,-2.962252768075729,새/기타,0.1,25.5,4.0,감시 지속,none
11,22.0,T15,bird,조류,-0.214411841492501,4.227945368773976,새/기타,0.1,46.7,2.48,포획·유도 회수,soft
11,22.0,T16,bird,조류,-1.3637870025751413,-4.030787123761074,새/기타,0.1,9.3,4.26,감시 지속,none
11,22.0,T17,balloon,고고도 미사일 풍선,-3.603078140372312,1.1896389755949088,풍선,0.15,53.4,2.07,포획·유도 회수,soft
11,22.0,T18,bird,조류,-0.5644259321471549,-3.634122071206229,새/기타,0.1,25.5,3.68,감시 지속,none
